batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Ghulam Shabber,25,15,3,0,166.66666666666669,S Lamichhane,2.0,23.0,1.0,0.0,5.0,11.5
Ashfaq Ahmed,8,4,2,0,200.0,Sompal Kami,2.0,21.0,1.0,0.0,1.0,10.5
Shaiman Anwar,30,20,2,2,150.0,Karan KC,2.0,13.0,2.0,0.0,0.0,6.5
Muhammad Usman,2,3,0,0,66.66666666666666,A Bohara,2.0,16.0,2.0,0.0,0.0,8.0
Mohammad Boota,11,9,1,0,122.22222222222223,LN Rajbanshi,2.0,16.0,2.0,0.0,0.0,8.0
Mohammad Naveed,0,1,0,0,0.0,,,,,,,
CP Rizwan,2,3,0,0,66.66666666666666,,,,,,,
Amir Hayat,0,1,0,0,0.0,,,,,,,
Sultan Ahmed (2),5,3,0,0,166.66666666666669,,,,,,,
Imran Haider,0,1,0,0,0.0,,,,,,,
