batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Rohan Mustafa,1,2,0,0,50.0,FJ Klaassen,3.0,18.0,1.0,0.0,0.0,6.0
Zawar Farid,5,12,0,0,41.66666666666667,PA van Meekeren,4.0,13.0,2.0,0.0,0.0,3.25
Rameez Shahzad,0,3,0,0,0.0,BD Glover,4.0,12.0,4.0,0.0,1.0,3.0
Muhammad Usman,0,1,0,0,0.0,PM Seelaar,2.0,10.0,0.0,0.0,0.0,5.0
DDP D'Silva,0,1,0,0,0.0,T van der Gugten,3.0,10.0,2.0,0.0,1.0,3.3333333333333335
Waheed Ahmed,19,35,2,0,54.285714285714285,RE van der Merwe,3.0,12.0,0.0,0.0,0.0,4.0
Mohammad Boota,16,27,1,0,59.25925925925925,CN Ackermann,1.0,2.0,0.0,0.0,0.0,2.0
Ahmed Raza,22,24,2,1,91.66666666666666,,,,,,,
Sultan Ahmed (2),11,12,0,1,91.66666666666666,,,,,,,
Zahoor Khan,1,1,0,0,100.0,,,,,,,
Junaid Siddique (2),0,2,0,0,0.0,,,,,,,
