batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Chirag Suri,4,3,1,0,133.33333333333331,SM Sharif,4.0,21.0,3.0,0.0,1.0,5.25
Rohan Mustafa,4,4,0,0,100.0,AC Evans,4.0,18.0,1.0,0.0,2.0,4.5
Rameez Shahzad,34,28,2,2,121.42857142857142,JH Davey,3.0,23.0,1.0,0.0,0.0,7.666666666666667
DDP D'Silva,19,19,1,0,100.0,MRJ Watt,4.0,21.0,3.0,1.0,0.0,5.0
Muhammad Usman,20,16,1,0,125.0,CS MacLeod,3.0,18.0,1.0,0.0,0.0,6.0
Waheed Ahmed,6,11,0,0,54.54545454545454,RD Berrington,1.0,4.0,1.0,0.0,0.0,4.0
Mohammad Boota,2,3,0,0,66.66666666666666,,,,,,,
Sultan Ahmed (2),0,1,0,0,0.0,,,,,,,
Ahmed Raza,3,9,0,0,33.33333333333333,,,,,,,
Junaid Siddique (2),3,10,0,0,30.0,,,,,,,
Zahoor Khan,6,8,1,0,75.0,,,,,,,
