batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
XM Marshall,17,12,3,0,141.66666666666669,GH O'Brien,4.0,38.0,2.0,0.0,6.0,9.5
MD Patel,6,4,1,0,150.0,MO Jones,4.0,26.0,2.0,1.0,2.0,6.25
S Sohal,5,11,0,0,45.45454545454545,DMW Rawlins,4.0,22.0,2.0,0.0,5.0,5.5
Steven Ryan Taylor,23,30,1,0,76.66666666666667,RJ Trott,2.0,11.0,0.0,0.0,0.0,5.5
Aaron Jones,4,5,0,0,80.0,OGL Bascome,4.0,32.0,3.0,0.0,7.0,8.0
HR Walsh,26,28,1,0,92.85714285714286,AC Douglas,2.0,12.0,0.0,0.0,0.0,6.0
TP Allen,7,3,0,1,233.33333333333334,,,,,,,
CJ Gannon,2,4,0,0,50.0,,,,,,,
TK Patel,14,14,1,0,100.0,,,,,,,
SN Netravalkar,12,7,0,1,171.42857142857142,,,,,,,
K Gore,4,3,0,0,133.33333333333331,,,,,,,
