batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
CH Gayle,5,4,1,0,125.0,DJ Willey,3.0,18.0,2.0,0.0,0.0,6.0
SD Hope,7,12,1,0,58.333333333333336,TK Curran,1.0,1.0,0.0,0.0,0.0,1.0
SO Hetmyer,10,11,1,0,90.9090909090909,CJ Jordan,2.0,6.0,4.0,0.0,0.0,3.0
DM Bravo,0,4,0,0,0.0,AU Rashid,3.0,12.0,2.0,0.0,0.0,4.0
JO Holder,0,1,0,0,0.0,LE Plunkett,3.0,8.0,2.0,0.0,0.0,2.6666666666666665
N Pooran,1,4,0,0,25.0,,,,,,,
FA Allen,1,3,0,0,33.33333333333333,,,,,,,
CR Brathwaite,10,4,0,1,250.0,,,,,,,
D Bishoo,8,20,1,0,40.0,,,,,,,
SS Cottrell,2,4,0,0,50.0,,,,,,,
OC McCoy,1,4,0,0,25.0,,,,,,,
