batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
SD Hope,0,1,0,0,0.0,DJ Willey,3.0,7.0,4.0,0.0,0.0,2.3333333333333335
JD Campbell,11,14,2,0,78.57142857142857,TK Curran,1.0,8.0,0.0,0.0,0.0,8.0
SO Hetmyer,8,7,1,0,114.28571428571428,CJ Jordan,2.0,14.0,0.0,0.0,1.0,7.0
DM Bravo,4,5,1,0,80.0,JL Denly,2.0,14.0,1.0,0.0,0.0,7.0
N Pooran,11,17,0,0,64.70588235294117,MA Wood,3.0,9.0,3.0,0.0,0.0,3.0
JO Holder,11,13,0,1,84.61538461538461,AU Rashid,2.0,18.0,2.0,0.0,0.0,9.0
FA Allen,7,4,0,1,175.0,,,,,,,
CR Brathwaite,0,5,0,0,0.0,,,,,,,
D Bishoo,3,3,0,0,100.0,,,,,,,
SS Cottrell,4,3,1,0,133.33333333333331,,,,,,,
OC McCoy,10,6,1,1,166.66666666666669,,,,,,,
