batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
MJ Guptill,15,10,1,1,150.0,DI Stevens,1.0,10.0,0.0,0.0,0.0,10.0
MH Wessels,4,6,0,0,66.66666666666666,R Rampaul,4.0,17.0,2.0,0.0,0.0,4.25
CJ Ferguson,6,7,0,0,85.71428571428571,FJ Hudson-Prentice,3.0,26.0,2.0,0.0,1.0,8.666666666666666
WD Parnell,81,46,2,7,176.08695652173913,LM Reece,3.0,35.0,1.0,0.0,1.0,11.666666666666666
OB Cox,20,19,2,0,105.26315789473684,AL Hughes,4.0,39.0,0.0,0.0,1.0,9.75
RA Whiteley,20,13,1,2,153.84615384615387,MRJ Watt,4.0,30.0,2.0,0.0,0.0,7.5
EG Barnard,0,1,0,0,0.0,,,,,,,
DKH Mitchell,5,5,1,0,100.0,,,,,,,
BL D'Oliveira,1,4,0,0,25.0,,,,,,,
DY Pennington,2,3,0,0,66.66666666666666,,,,,,,
