batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
HD Rutherford,4,3,1,0,133.33333333333331,DW Lawrence,4.0,25.0,2.0,0.0,2.0,6.25
MH Wessels,31,34,2,1,91.17647058823529,SJ Cook,2.0,19.0,0.0,0.0,0.0,9.5
MM Ali,32,26,3,2,123.07692307692308,AP Beard,1.0,7.0,0.0,0.0,3.0,7.0
OB Cox,0,1,0,0,0.0,RS Bopara,4.0,30.0,2.0,0.0,1.0,7.5
WD Parnell,19,19,1,1,100.0,SR Harmer,4.0,16.0,3.0,0.0,4.0,4.0
DKH Mitchell,19,15,3,0,126.66666666666666,ASS Nijjar,4.0,31.0,0.0,0.0,1.0,7.75
RA Whiteley,7,6,0,1,116.66666666666667,CS Delport,1.0,10.0,1.0,0.0,0.0,10.0
BL D'Oliveira,10,9,1,0,111.11111111111111,,,,,,,
EG Barnard,5,5,0,0,100.0,,,,,,,
PR Brown,1,2,0,0,50.0,,,,,,,
