batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
MJ Guptill,17,14,0,2,121.42857142857142,CF Parkinson,4.0,21.0,2.0,0.0,0.0,5.25
MH Wessels,12,12,1,0,100.0,D Klein,3.0,23.0,0.0,2.0,0.0,7.0
CJ Ferguson,7,12,1,0,58.333333333333336,CN Ackermann,4.0,15.0,1.0,0.0,0.0,3.75
WD Parnell,0,2,0,0,0.0,GT Griffiths,4.0,23.0,3.0,0.0,1.0,5.75
OB Cox,30,29,2,1,103.44827586206897,WS Davis,3.0,24.0,3.0,2.0,1.0,7.333333333333333
RA Whiteley,4,9,0,0,44.44444444444444,AM Lilley,2.0,11.0,1.0,0.0,0.0,5.5
EG Barnard,17,14,1,1,121.42857142857142,,,,,,,
GH Rhodes,5,7,0,0,71.42857142857143,,,,,,,
DY Pennington,4,5,0,0,80.0,,,,,,,
DKH Mitchell,12,10,1,0,120.0,,,,,,,
PR Brown,3,4,0,0,75.0,,,,,,,
