batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
A Lyth,28,11,5,1,254.54545454545453,LV van Beek,3.0,17.0,4.0,0.0,1.0,5.666666666666667
T Kohler-Cadmore,0,2,0,0,0.0,R Rampaul,3.0,33.0,1.0,0.0,1.0,11.0
DJ Willey,11,8,1,1,137.5,FJ Hudson-Prentice,2.0,21.0,0.0,0.0,4.0,10.5
JA Tattersall,17,12,2,0,141.66666666666669,WB Rankin,2.0,30.0,0.0,0.0,2.0,15.0
JA Leaning,36,30,1,1,120.0,LM Reece,4.0,27.0,2.0,0.0,2.0,6.75
TT Bresnan,10,7,1,0,142.85714285714286,MJJ Critchley,3.0,21.0,1.0,0.0,0.0,7.0
JA Thompson,23,12,2,1,191.66666666666669,,,,,,,
KA Maharaj,10,13,0,0,76.92307692307693,,,,,,,
DM Bess,3,6,0,0,50.0,,,,,,,
D Olivier,1,2,0,0,50.0,,,,,,,
