batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Gulbadin Naib,47,75,3,0,62.66666666666667,Mashrafe Mortaza,7.0,37.0,0.0,0.0,3.0,5.285714285714286
Rahmat Shah,24,35,3,0,68.57142857142857,Mustafizur Rahman,8.0,32.0,2.0,0.0,2.0,4.0
Hashmatullah Shahidi,11,31,0,0,35.483870967741936,Mohammad Saifuddin,8.0,33.0,1.0,0.0,1.0,4.125
Asghar Stanikzai,20,38,1,0,52.63157894736842,Shakib Al Hasan,10.0,29.0,5.0,0.0,0.0,2.9
Mohammad Nabi,0,2,0,0,0.0,Mehedi Hasan Miraz,8.0,37.0,0.0,0.0,0.0,4.625
Samiullah Shenwari,49,51,3,1,96.07843137254902,Mosaddek Hossain,6.0,25.0,1.0,0.0,0.0,4.166666666666667
Ikram Alikhil,11,12,1,0,91.66666666666666,,,,,,,
Najibullah Zadran,23,23,2,0,100.0,,,,,,,
Rashid Khan,2,3,0,0,66.66666666666666,,,,,,,
Dawlat Zadran,0,8,0,0,0.0,,,,,,,
Mujeeb Ur Rahman,0,4,0,0,0.0,,,,,,,
