batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
KL Rahul,30,53,2,0,56.60377358490566,Mujeeb Ur Rahman,10.0,26.0,1.0,0.0,1.0,2.6
RG Sharma,1,10,0,0,10.0,Aftab Alam,7.0,54.0,1.0,0.0,0.0,7.714285714285714
V Kohli,67,63,5,0,106.34920634920636,Gulbadin Naib,9.0,51.0,2.0,0.0,2.0,5.666666666666667
V Shankar,29,41,2,0,70.73170731707317,Mohammad Nabi,9.0,33.0,2.0,0.0,1.0,3.6666666666666665
MS Dhoni,28,52,3,0,53.84615384615385,Rashid Khan,10.0,38.0,1.0,0.0,2.0,3.8
KM Jadhav,52,68,3,1,76.47058823529412,Rahmat Shah,5.0,22.0,1.0,0.0,1.0,4.4
HH Pandya,7,9,0,0,77.77777777777779,,,,,,,
Mohammed Shami,1,2,0,0,50.0,,,,,,,
Kuldeep Yadav,1,1,0,0,100.0,,,,,,,
JJ Bumrah,1,1,0,0,100.0,,,,,,,
