batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Hazratullah,10,24,1,0,41.66666666666667,Mohammed Shami,10.0,40.0,4.0,0.0,3.0,4.0
Gulbadin Naib,27,42,2,0,64.28571428571429,JJ Bumrah,10.0,39.0,2.0,0.0,0.0,3.9
Rahmat Shah,36,63,3,0,57.14285714285714,YS Chahal,10.0,36.0,2.0,0.0,0.0,3.6
Hashmatullah Shahidi,21,45,2,0,46.666666666666664,HH Pandya,10.0,51.0,2.0,0.0,6.0,5.1
Asghar Stanikzai,8,19,0,0,42.10526315789473,Kuldeep Yadav,10.0,39.0,0.0,0.0,0.0,3.9
Mohammad Nabi,52,55,4,1,94.54545454545455,,,,,,,
Najibullah Zadran,21,23,2,0,91.30434782608695,,,,,,,
Rashid Khan,14,16,1,0,87.5,,,,,,,
Ikram Alikhil,7,10,0,0,70.0,,,,,,,
Aftab Alam,0,1,0,0,0.0,,,,,,,
Mujeeb Ur Rahman,0,1,0,0,0.0,,,,,,,
