batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Hazratullah,22,23,3,0,95.65217391304348,K Rabada,8.0,36.0,1.0,0.0,2.0,4.5
Noor Ali Zadran,32,58,4,0,55.172413793103445,BE Hendricks,5.0,25.0,0.0,0.0,1.0,5.0
Rahmat Shah,6,22,1,0,27.27272727272727,AL Phehlukwayo,8.0,18.0,2.0,0.0,0.0,2.25
Hashmatullah Shahidi,8,22,1,0,36.36363636363637,CH Morris,6.0,13.0,3.0,0.0,0.0,2.1666666666666665
Asghar Stanikzai,0,5,0,0,0.0,Imran Tahir,7.0,29.0,4.0,0.0,0.0,4.142857142857143
Mohammad Nabi,1,2,0,0,50.0,,,,,,,
Ikram Alikhil,9,33,0,0,27.27272727272727,,,,,,,
Gulbadin Naib,5,11,0,0,45.45454545454545,,,,,,,
Rashid Khan,35,25,6,0,140.0,,,,,,,
Hamid Hassan,0,3,0,0,0.0,,,,,,,
Aftab Alam,0,1,0,0,0.0,,,,,,,
