batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
AT Carey,5,11,1,0,45.45454545454545,B Kumar,8.0,28.0,2.0,0.0,0.0,3.5
AJ Finch,14,24,2,0,58.333333333333336,Mohammed Shami,10.0,47.0,2.0,0.0,1.0,4.7
UT Khawaja,34,51,2,0,66.66666666666666,V Shankar,6.0,23.0,0.0,0.0,2.0,3.8333333333333335
SE Marsh,39,54,3,0,72.22222222222221,KM Jadhav,6.0,35.0,0.0,0.0,0.0,5.833333333333333
PSP Handscomb,58,63,2,0,92.06349206349206,RA Jadeja,9.0,53.0,0.0,0.0,4.0,5.888888888888889
MP Stoinis,10,20,1,0,50.0,YS Chahal,10.0,42.0,6.0,0.0,1.0,4.2
GJ Maxwell,26,19,5,0,136.8421052631579,,,,,,,
JA Richardson,16,23,1,0,69.56521739130434,,,,,,,
A Zampa,8,14,0,0,57.14285714285714,,,,,,,
PM Siddle,10,11,1,0,90.9090909090909,,,,,,,
B Stanlake,0,2,0,0,0.0,,,,,,,
