batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
DA Warner,122,117,15,2,104.27350427350429,Imran Tahir,9.0,59.0,1.0,0.0,0.0,6.555555555555555
AJ Finch,3,4,0,0,75.0,K Rabada,10.0,56.0,3.0,0.0,0.0,5.6
UT Khawaja,18,14,3,0,128.57142857142858,D Pretorius,6.0,27.0,2.0,0.0,1.0,4.5
SPD Smith,7,6,1,0,116.66666666666667,CH Morris,9.0,63.0,1.0,0.0,0.0,7.0
MP Stoinis,22,34,4,0,64.70588235294117,T Shamsi,9.0,62.0,0.0,0.0,1.0,6.888888888888889
GJ Maxwell,12,20,1,0,60.0,AL Phehlukwayo,3.0,22.0,2.0,0.0,1.0,7.333333333333333
AT Carey,85,69,11,1,123.18840579710144,JP Duminy,4.0,22.0,0.0,0.0,0.0,5.5
PJ Cummins,9,15,1,0,60.0,,,,,,,
MA Starc,16,11,1,1,145.45454545454547,,,,,,,
JP Behrendorff,11,6,0,0,183.33333333333331,,,,,,,
NM Lyon,3,3,0,0,100.0,,,,,,,
