batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
FDM Karunaratne,97,108,9,0,89.81481481481481,MA Starc,10.0,55.0,4.0,0.0,1.0,5.5
MDKJ Perera,52,36,5,1,144.44444444444443,PJ Cummins,8.0,38.0,2.0,0.0,2.0,4.75
HDRL Thirimanne,16,26,1,0,61.53846153846154,JP Behrendorff,9.0,59.0,1.0,0.0,0.0,6.555555555555555
BKG Mendis,30,37,0,2,81.08108108108108,KW Richardson,9.0,47.0,3.0,0.0,2.0,5.222222222222222
AD Mathews,9,11,2,0,81.81818181818183,GJ Maxwell,10.0,46.0,0.0,0.0,1.0,4.6
TAM Siriwardana,3,4,0,0,75.0,,,,,,,
NLTC Perera,7,3,0,1,233.33333333333334,,,,,,,
DM de Silva,16,30,2,0,53.333333333333336,,,,,,,
I Udana,8,8,1,0,100.0,,,,,,,
SL Malinga,1,5,0,0,20.0,,,,,,,
N Pradeep,0,7,0,0,0.0,,,,,,,
