batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
DA Warner,3,8,0,0,37.5,O Thomas,10.0,58.0,2.0,1.0,8.0,5.7
AJ Finch,6,10,0,0,60.0,SS Cottrell,9.0,56.0,2.0,0.0,3.0,6.222222222222222
UT Khawaja,13,19,2,0,68.42105263157895,AD Russell,8.0,41.0,2.0,0.0,5.0,5.125
SPD Smith,73,103,7,0,70.87378640776699,CR Brathwaite,10.0,67.0,3.0,0.0,2.0,6.7
GJ Maxwell,0,2,0,0,0.0,JO Holder,7.0,28.0,1.0,0.0,0.0,4.0
MP Stoinis,19,23,4,0,82.6086956521739,AR Nurse,5.0,31.0,0.0,0.0,2.0,6.2
AT Carey,45,55,7,0,81.81818181818183,,,,,,,
NM Coulter-Nile,92,60,8,4,153.33333333333334,,,,,,,
PJ Cummins,2,6,0,0,33.33333333333333,,,,,,,
MA Starc,8,9,1,0,88.88888888888889,,,,,,,
