batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
CH Gayle,21,17,4,0,123.52941176470588,MA Starc,10.0,41.0,5.0,0.0,4.0,4.1
E Lewis,1,5,0,0,20.0,PJ Cummins,10.0,41.0,2.0,0.0,3.0,4.1
SD Hope,68,105,7,0,64.76190476190476,NM Coulter-Nile,10.0,70.0,0.0,0.0,0.0,7.0
N Pooran,40,36,5,1,111.11111111111111,GJ Maxwell,6.0,31.0,0.0,0.0,0.0,5.166666666666667
SO Hetmyer,21,28,3,0,75.0,A Zampa,10.0,58.0,1.0,0.0,0.0,5.8
JO Holder,51,57,7,1,89.47368421052632,MP Stoinis,4.0,18.0,0.0,0.0,0.0,4.5
AD Russell,15,11,2,1,136.36363636363635,,,,,,,
CR Brathwaite,16,17,1,1,94.11764705882352,,,,,,,
AR Nurse,19,18,4,0,105.55555555555556,,,,,,,
SS Cottrell,1,2,0,0,50.0,,,,,,,
O Thomas,0,4,0,0,0.0,,,,,,,
