batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Tamim Iqbal,22,31,3,0,70.96774193548387,B Kumar,9.0,51.0,1.0,0.0,3.0,5.666666666666667
Soumya Sarkar,33,38,4,0,86.8421052631579,JJ Bumrah,10.0,55.0,4.0,0.0,2.0,5.5
Shakib Al Hasan,66,74,6,0,89.1891891891892,Mohammed Shami,9.0,68.0,1.0,0.0,1.0,7.555555555555555
Mushfiqur Rahim,24,23,3,0,104.34782608695652,YS Chahal,10.0,50.0,1.0,0.0,2.0,5.0
Liton Das,22,24,0,1,91.66666666666666,HH Pandya,10.0,60.0,3.0,0.0,2.0,6.0
Mosaddek Hossain,3,7,0,0,42.857142857142854,,,,,,,
Sabbir Rahman,36,36,5,0,100.0,,,,,,,
Mohammad Saifuddin,51,38,9,0,134.21052631578948,,,,,,,
Mashrafe Mortaza,8,5,0,1,160.0,,,,,,,
Rubel Hossain,9,11,1,0,81.81818181818183,,,,,,,
Mustafizur Rahman,0,1,0,0,0.0,,,,,,,
