batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Tamim Iqbal,24,38,3,0,63.1578947368421,MJ Henry,10.0,47.0,4.0,0.0,1.0,4.7
Soumya Sarkar,25,25,3,0,100.0,TA Boult,10.0,44.0,2.0,0.0,1.0,4.4
Shakib Al Hasan,64,68,7,0,94.11764705882352,LH Ferguson,10.0,40.0,1.0,0.0,5.0,4.0
Mushfiqur Rahim,19,35,2,0,54.285714285714285,C de Grandhomme,8.0,39.0,1.0,0.0,1.0,4.875
Mohammad Mithun,26,33,3,0,78.78787878787878,JDS Neesham,2.0,24.0,0.0,0.0,1.0,12.0
Mahmudullah,20,41,0,0,48.78048780487805,MJ Santner,10.0,41.0,1.0,0.0,0.0,4.1
Mosaddek Hossain,11,22,0,0,50.0,,,,,,,
Mohammad Saifuddin,29,23,3,1,126.08695652173914,,,,,,,
Mehedi Hasan Miraz,7,9,0,0,77.77777777777779,,,,,,,
Mashrafe Mortaza,1,2,0,0,50.0,,,,,,,
