batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
MJ Guptill,25,14,2,1,178.57142857142858,Mashrafe Mortaza,5.0,32.0,0.0,1.0,0.0,6.2
C Munro,24,34,3,1,70.58823529411765,Mehedi Hasan Miraz,10.0,47.0,2.0,0.0,1.0,4.7
KS Williamson,40,72,1,0,55.55555555555556,Mustafizur Rahman,7.0,48.0,0.0,0.0,3.0,6.857142857142857
LRPL Taylor,82,91,9,0,90.10989010989012,Shakib Al Hasan,10.0,47.0,2.0,0.0,1.0,4.7
TWM Latham,0,4,0,0,0.0,Mohammad Saifuddin,7.0,41.0,2.0,0.0,3.0,5.857142857142857
JDS Neesham,25,33,2,1,75.75757575757575,Mosaddek Hossain,8.0,33.0,2.0,0.0,1.0,4.125
C de Grandhomme,15,13,2,0,115.38461538461537,,,,,,,
MJ Santner,17,12,2,0,141.66666666666669,,,,,,,
MJ Henry,6,8,1,0,75.0,,,,,,,
LH Ferguson,4,3,1,0,133.33333333333331,,,,,,,
