batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Fakhar Zaman,13,31,1,0,41.935483870967744,Mehedi Hasan Miraz,10.0,30.0,1.0,0.0,2.0,3.0
Imam-ul-Haq,100,100,8,0,100.0,Mohammad Saifuddin,9.0,77.0,3.0,1.0,3.0,8.444444444444445
Babar Azam,96,98,11,0,97.95918367346938,Mustafizur Rahman,10.0,75.0,5.0,0.0,1.0,7.5
Mohammad Hafeez,27,25,3,0,108.0,Mashrafe Mortaza,7.0,46.0,0.0,0.0,0.0,6.571428571428571
Haris Sohail,6,6,1,0,100.0,Shakib Al Hasan,10.0,57.0,0.0,0.0,5.0,5.7
Imad Wasim,43,26,6,1,165.3846153846154,Mosaddek Hossain,4.0,27.0,0.0,0.0,1.0,6.75
Sarfraz Ahmed,3,3,0,0,100.0,,,,,,,
Wahab Riaz,2,4,0,0,50.0,,,,,,,
Shadab Khan,1,2,0,0,50.0,,,,,,,
Mohammad Amir,8,6,1,0,133.33333333333331,,,,,,,
