batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Q de Kock,23,32,4,0,71.875,Mustafizur Rahman,10.0,67.0,3.0,0.0,2.0,6.7
AK Markram,45,56,4,0,80.35714285714286,Mehedi Hasan Miraz,10.0,44.0,1.0,0.0,0.0,4.4
F du Plessis,62,53,5,1,116.98113207547169,Mohammad Saifuddin,8.0,57.0,2.0,1.0,2.0,7.0
DA Miller,38,43,2,0,88.37209302325581,Shakib Al Hasan,10.0,50.0,1.0,0.0,0.0,5.0
HE van der Dussen,41,38,2,1,107.89473684210526,Mashrafe Mortaza,6.0,49.0,0.0,0.0,0.0,8.166666666666666
JP Duminy,45,37,4,0,121.62162162162163,Mosaddek Hossain,6.0,38.0,0.0,0.0,5.0,6.333333333333333
AL Phehlukwayo,8,13,1,0,61.53846153846154,,,,,,,
CH Morris,10,10,1,0,100.0,,,,,,,
K Rabada,13,9,0,1,144.44444444444443,,,,,,,
Imran Tahir,10,10,0,0,100.0,,,,,,,
