batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Tamim Iqbal,19,29,1,0,65.51724137931035,CR Woakes,8.0,67.0,0.0,0.0,0.0,8.375
Soumya Sarkar,2,8,0,0,25.0,JC Archer,9.0,29.0,3.0,0.0,5.0,3.2222222222222223
Shakib Al Hasan,121,119,12,1,101.68067226890756,LE Plunkett,8.0,36.0,1.0,0.0,2.0,4.5
Mushfiqur Rahim,44,50,2,0,88.0,MA Wood,8.0,52.0,2.0,0.0,0.0,6.5
Mohammad Mithun,0,2,0,0,0.0,AU Rashid,10.0,64.0,1.0,0.0,2.0,6.4
Mahmudullah,28,41,1,1,68.29268292682927,BA Stokes,6.0,23.0,3.0,0.0,1.0,3.8333333333333335
Mosaddek Hossain,26,16,4,0,162.5,,,,,,,
Mohammad Saifuddin,5,8,0,0,62.5,,,,,,,
Mehedi Hasan Miraz,12,8,2,0,150.0,,,,,,,
Mashrafe Mortaza,4,9,0,0,44.44444444444444,,,,,,,
Mustafizur Rahman,0,3,0,0,0.0,,,,,,,
