batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
JM Vince,33,32,6,0,103.125,Hasan Ali,10.0,70.0,1.0,0.0,1.0,7.0
JM Bairstow,32,21,6,0,152.38095238095238,Shaheen Shah Afridi,10.0,82.0,4.0,1.0,2.0,8.1
JE Root,84,73,9,0,115.06849315068493,Mohammad Hasnain,8.0,67.0,1.0,0.0,7.0,8.375
EJG Morgan,76,64,4,5,118.75,Imad Wasim,10.0,53.0,3.0,0.0,0.0,5.3
JC Buttler,34,34,4,1,100.0,Fakhar Zaman,4.0,23.0,0.0,0.0,0.0,5.75
BA Stokes,21,29,2,0,72.41379310344827,Shoaib Malik,4.0,29.0,0.0,0.0,0.0,7.25
MM Ali,0,2,0,0,0.0,Mohammad Hafeez,4.0,25.0,0.0,0.0,0.0,6.25
CR Woakes,13,18,0,0,72.22222222222221,,,,,,,
DJ Willey,14,11,0,1,127.27272727272727,,,,,,,
TK Curran,29,15,2,2,193.33333333333334,,,,,,,
AU Rashid,2,2,0,0,100.0,,,,,,,
