batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Q de Kock,68,74,6,2,91.8918918918919,CR Woakes,5.0,24.0,0.0,0.0,0.0,4.8
HM Amla,13,23,1,0,56.52173913043478,JC Archer,7.0,27.0,3.0,0.0,1.0,3.857142857142857
AK Markram,11,12,2,0,91.66666666666666,AU Rashid,8.0,35.0,1.0,0.0,0.0,4.375
F du Plessis,5,7,1,0,71.42857142857143,MM Ali,10.0,63.0,1.0,0.0,0.0,6.3
HE van der Dussen,50,61,4,1,81.9672131147541,LE Plunkett,7.0,37.0,2.0,0.0,0.0,5.285714285714286
JP Duminy,8,11,1,0,72.72727272727273,BA Stokes,3.0,12.0,2.0,0.0,0.0,4.0
D Pretorius,1,1,0,0,100.0,,,,,,,
AL Phehlukwayo,24,25,4,0,96.0,,,,,,,
K Rabada,11,19,2,0,57.89473684210527,,,,,,,
L Ngidi,6,5,0,1,120.0,,,,,,,
Imran Tahir,0,1,0,0,0.0,,,,,,,
