batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
JM Vince,14,18,2,0,77.77777777777779,SL Malinga,10.0,43.0,4.0,0.0,2.0,4.3
JM Bairstow,0,1,0,0,0.0,N Pradeep,10.0,38.0,1.0,0.0,2.0,3.8
JE Root,57,89,3,0,64.04494382022472,DM de Silva,8.0,32.0,3.0,0.0,0.0,4.0
EJG Morgan,21,35,2,0,60.0,NLTC Perera,8.0,34.0,0.0,0.0,0.0,4.25
BA Stokes,82,89,7,4,92.13483146067416,I Udana,8.0,41.0,2.0,0.0,1.0,5.125
JC Buttler,10,9,1,0,111.11111111111111,BMAJ Mendis,3.0,23.0,0.0,0.0,0.0,7.666666666666667
MM Ali,16,20,0,1,80.0,,,,,,,
CR Woakes,2,4,0,0,50.0,,,,,,,
AU Rashid,1,2,0,0,50.0,,,,,,,
JC Archer,3,11,0,0,27.27272727272727,,,,,,,
MA Wood,0,4,0,0,0.0,,,,,,,
