batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
UT Khawaja,100,106,10,2,94.33962264150944,B Kumar,10.0,48.0,3.0,0.0,1.0,4.8
AJ Finch,27,43,4,0,62.7906976744186,Mohammed Shami,9.0,57.0,2.0,0.0,0.0,6.333333333333333
PSP Handscomb,52,60,4,0,86.66666666666667,JJ Bumrah,10.0,39.0,0.0,0.0,0.0,3.9
GJ Maxwell,1,3,0,0,33.33333333333333,Kuldeep Yadav,10.0,74.0,1.0,0.0,2.0,7.4
MP Stoinis,20,27,1,1,74.07407407407408,RA Jadeja,10.0,45.0,2.0,0.0,0.0,4.5
AJ Turner,20,20,2,1,100.0,KM Jadhav,1.0,8.0,0.0,0.0,0.0,8.0
AT Carey,3,9,0,0,33.33333333333333,,,,,,,
JA Richardson,29,21,4,0,138.0952380952381,,,,,,,
PJ Cummins,15,8,2,0,187.5,,,,,,,
NM Lyon,1,3,0,0,33.33333333333333,,,,,,,
