batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
KL Rahul,1,7,0,0,14.285714285714285,TA Boult,10.0,42.0,2.0,0.0,3.0,4.2
RG Sharma,1,4,0,0,25.0,MJ Henry,10.0,37.0,3.0,0.0,3.0,3.7
V Kohli,1,6,0,0,16.666666666666664,LH Ferguson,10.0,43.0,1.0,0.0,2.0,4.3
RR Pant,32,56,4,0,57.14285714285714,C de Grandhomme,2.0,13.0,0.0,0.0,1.0,6.5
KD Karthik,6,25,1,0,24.0,JDS Neesham,8.0,49.0,1.0,0.0,3.0,6.125
HH Pandya,32,62,2,0,51.61290322580645,MJ Santner,10.0,34.0,2.0,0.0,1.0,3.4
MS Dhoni,50,72,1,1,69.44444444444444,,,,,,,
RA Jadeja,77,59,4,4,130.5084745762712,,,,,,,
YS Chahal,5,5,1,0,100.0,,,,,,,
B Kumar,0,1,0,0,0.0,,,,,,,
