batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
WTS Porterfield,17,28,1,1,60.71428571428571,DJ Willey,6.0,26.0,0.0,0.0,1.0,4.333333333333333
PR Stirling,33,44,5,0,75.0,JC Archer,8.0,40.0,1.0,0.0,0.0,5.0
A Balbirnie,29,44,1,1,65.9090909090909,TK Curran,8.0,35.0,3.0,0.0,1.0,4.375
L Tucker,7,5,1,0,140.0,LE Plunkett,7.0,35.0,4.0,0.0,2.0,5.0
KJ O'Brien,4,2,1,0,200.0,AU Rashid,9.0,27.0,1.0,0.0,1.0,3.0
GC Wilson,8,20,0,0,40.0,JL Denly,5.0,24.0,1.0,0.0,2.0,4.8
GH Dockrell,24,42,1,0,57.14285714285714,,,,,,,
MR Adair,32,30,2,2,106.66666666666667,,,,,,,
TJ Murtagh,12,27,0,0,44.44444444444444,,,,,,,
WB Rankin,5,11,0,0,45.45454545454545,,,,,,,
J Little,9,6,2,0,150.0,,,,,,,
