batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
H Masakadza,23,46,3,0,50.0,TJ Murtagh,10.0,39.0,3.0,0.0,0.0,3.9
RP Burl,1,5,0,0,20.0,MR Adair,9.0,53.0,2.0,0.0,2.0,5.888888888888889
CR Ervine,8,10,2,0,80.0,WB Rankin,10.0,39.0,2.0,0.0,1.0,3.9
BRM Taylor,3,10,0,0,30.0,SC Getkate,10.0,30.0,2.0,0.0,2.0,3.0
SC Williams,67,103,6,0,65.0485436893204,KJ O'Brien,8.0,25.0,0.0,0.0,0.0,3.125
Sikandar Raza,6,4,1,0,150.0,,,,,,,
SF Mire,14,27,1,0,51.85185185185185,,,,,,,
R Mutumbami,28,33,4,0,84.84848484848484,,,,,,,
KM Jarvis,28,33,3,1,84.84848484848484,,,,,,,
CB Mpofu,2,4,0,0,50.0,,,,,,,
TL Chatara,1,6,0,0,16.666666666666664,,,,,,,
