batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
C Munro,24,19,2,1,126.3157894736842,B Kumar,7.0,38.0,1.0,0.0,0.0,5.428571428571429
HM Nicholls,8,15,1,0,53.333333333333336,Mohammed Shami,8.0,35.0,2.0,0.0,1.0,4.375
KS Williamson,39,73,3,0,53.42465753424658,HH Pandya,8.0,50.0,2.0,0.0,1.0,6.25
LRPL Taylor,1,4,0,0,25.0,V Shankar,4.0,19.0,0.0,0.0,0.0,4.75
TWM Latham,37,49,3,0,75.51020408163265,YS Chahal,10.0,41.0,3.0,0.0,0.0,4.1
JDS Neesham,44,32,4,2,137.5,KM Jadhav,7.0,34.0,1.0,0.0,1.0,4.857142857142857
C de Grandhomme,11,8,2,0,137.5,,,,,,,
MJ Santner,22,37,0,0,59.45945945945946,,,,,,,
TD Astle,10,16,1,0,62.5,,,,,,,
MJ Henry,17,9,1,2,188.88888888888889,,,,,,,
TA Boult,1,3,0,0,33.33333333333333,,,,,,,
