batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
N Dickwella,46,37,3,2,124.32432432432432,TG Southee,7.0,46.0,1.0,0.0,4.0,6.571428571428571
DM de Silva,36,29,5,1,124.13793103448276,MJ Henry,8.0,62.0,0.0,0.0,2.0,7.75
MDKJ Perera,43,49,5,1,87.75510204081633,LH Ferguson,8.0,40.0,4.0,0.0,1.0,5.0
MD Shanaka,2,7,0,0,28.57142857142857,JDS Neesham,5.0,34.0,1.0,0.0,0.0,6.8
NLTC Perera,80,63,7,3,126.98412698412697,KS Williamson,5.0,24.0,0.0,0.0,0.0,4.8
MD Gunathilaka,31,52,1,0,59.61538461538461,IS Sodhi,9.0,40.0,3.0,0.0,0.0,4.444444444444445
PVD Chameera,1,8,0,0,12.5,,,,,,,
PADLR Sandakan,0,1,0,0,0.0,,,,,,,
SL Malinga,0,1,0,0,0.0,,,,,,,
N Pradeep,0,3,0,0,0.0,,,,,,,
