batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
TP Ura,34,39,4,1,87.17948717948718,Bilal Khan,10.0,32.0,2.0,0.0,1.0,3.2
G Toka,23,20,3,0,114.99999999999999,AV Lalcheta,5.0,27.0,0.0,0.0,0.0,5.4
A Vala,20,25,2,1,80.0,Fayyaz Butt,5.0,47.0,0.0,2.0,0.0,9.0
L Siaka,6,9,0,0,66.66666666666666,Jay Odedra,10.0,34.0,4.0,0.0,1.0,3.4
CJA Amini,4,21,0,0,19.047619047619047,Zeeshan Maqsood,10.0,26.0,1.0,0.0,0.0,2.6
S Bau,14,20,2,0,70.0,Aqib Ilyas,3.0,6.0,1.0,0.0,0.0,2.0
K Doriga,24,49,2,0,48.97959183673469,Khawar Ali,7.0,30.0,1.0,0.0,0.0,4.285714285714286
CA Soper,29,55,2,0,52.72727272727272,,,,,,,
H Hiri,31,33,2,0,93.93939393939394,,,,,,,
N Vanua,2,5,0,0,40.0,,,,,,,
N Pokana,11,26,1,0,42.30769230769231,,,,,,,
