batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Imam-ul-Haq,2,11,0,0,18.181818181818183,SS Cottrell,4.0,17.0,1.0,0.0,1.0,4.25
Fakhar Zaman,22,16,2,1,137.5,JO Holder,5.0,42.0,3.0,0.0,0.0,8.4
Babar Azam,22,33,2,0,66.66666666666666,AD Russell,3.0,4.0,2.0,0.0,0.0,1.3333333333333333
Haris Sohail,8,11,1,0,72.72727272727273,CR Brathwaite,4.0,14.0,0.0,0.0,0.0,3.5
Sarfraz Ahmed,8,12,1,0,66.66666666666666,O Thomas,6.0,27.0,4.0,2.0,1.0,4.166666666666667
Mohammad Hafeez,16,24,2,0,66.66666666666666,,,,,,,
Imad Wasim,1,3,0,0,33.33333333333333,,,,,,,
Shadab Khan,0,1,0,0,0.0,,,,,,,
Hasan Ali,1,4,0,0,25.0,,,,,,,
Wahab Riaz,18,11,1,2,163.63636363636365,,,,,,,
Mohammad Amir,3,6,0,0,50.0,,,,,,,
