batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
XM Marshall,50,67,5,1,74.6268656716418,SM Sharif,10.0,49.0,0.0,1.0,0.0,4.8
MD Patel,0,2,0,0,0.0,JH Davey,10.0,46.0,2.0,0.0,0.0,4.6
Steven Ryan Taylor,56,81,5,0,69.1358024691358,AC Evans,10.0,67.0,2.0,0.0,5.0,6.7
Aaron Jones,0,6,0,0,0.0,MRJ Watt,10.0,33.0,3.0,0.0,1.0,3.3
IG Holland,8,10,1,0,80.0,Hamza Tahir,10.0,45.0,2.0,0.0,1.0,4.5
Akshay Homraj,27,35,1,1,77.14285714285715,,,,,,,
NK Patel,38,52,3,0,73.07692307692307,,,,,,,
CAH Stevenson,34,32,3,1,106.25,,,,,,,
J Theron,6,10,0,0,60.0,,,,,,,
SN Netravalkar,7,4,1,0,175.0,,,,,,,
NP Kenjige,6,2,0,0,300.0,,,,,,,
