batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
FDM Karunaratne,0,1,0,0,0.0,K Rabada,10.0,36.0,2.0,0.0,2.0,3.6
MDKJ Perera,30,34,4,0,88.23529411764706,CH Morris,10.0,46.0,3.0,0.0,3.0,4.6
WIA Fernando,30,29,4,0,103.44827586206897,D Pretorius,10.0,25.0,3.0,0.0,1.0,2.5
BKG Mendis,23,51,2,0,45.09803921568628,AL Phehlukwayo,8.0,38.0,1.0,0.0,2.0,4.75
AD Mathews,11,29,1,0,37.93103448275862,Imran Tahir,10.0,36.0,0.0,0.0,0.0,3.6
DM de Silva,24,41,2,0,58.536585365853654,JP Duminy,2.0,15.0,1.0,0.0,5.0,7.5
BMAJ Mendis,18,46,1,1,39.130434782608695,,,,,,,
NLTC Perera,21,25,0,0,84.0,,,,,,,
I Udana,17,32,1,0,53.125,,,,,,,
RAS Lakmal,5,7,0,0,71.42857142857143,,,,,,,
SL Malinga,4,2,1,0,200.0,,,,,,,
