batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Anamul Haque,14,24,2,0,58.333333333333336,GSNFG Jayasuriya,6.0,40.0,0.0,0.0,0.0,6.666666666666667
Tamim Iqbal,2,6,0,0,33.33333333333333,CAK Rajitha,5.0,17.0,2.0,0.0,3.0,3.4
Soumya Sarkar,69,86,5,1,80.23255813953489,A Dananjaya,10.0,44.0,1.0,0.0,0.0,4.4
Mushfiqur Rahim,10,15,1,0,66.66666666666666,MD Shanaka,6.0,27.0,3.0,0.0,2.0,4.5
Mohammad Mithun,4,11,0,0,36.36363636363637,PWH de Silva,4.0,16.0,1.0,0.0,0.0,4.0
Mahmudullah,9,12,1,0,75.0,CBRLS Kumara,5.0,26.0,2.0,0.0,0.0,5.2
Sabbir Rahman,7,17,0,0,41.17647058823529,,,,,,,
Mehedi Hasan Miraz,8,6,2,0,133.33333333333331,,,,,,,
Taijul Islam,39,28,5,1,139.28571428571428,,,,,,,
Shafiul Islam,1,5,0,0,20.0,,,,,,,
Rubel Hossain,2,6,0,0,33.33333333333333,,,,,,,
