batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
CH Gayle,35,48,1,2,72.91666666666666,SL Malinga,10.0,55.0,3.0,1.0,4.0,5.4
SW Ambris,5,6,1,0,83.33333333333334,DM de Silva,10.0,49.0,0.0,0.0,0.0,4.9
SD Hope,5,11,1,0,45.45454545454545,I Udana,10.0,67.0,0.0,0.0,3.0,6.7
SO Hetmyer,29,38,2,0,76.31578947368422,CAK Rajitha,10.0,76.0,1.0,1.0,4.0,7.5
N Pooran,118,103,11,4,114.5631067961165,JDF Vandersay,7.0,50.0,1.0,0.0,9.0,7.142857142857143
JO Holder,26,26,4,0,100.0,FDM Karunaratne,1.0,7.0,0.0,0.0,0.0,7.0
CR Brathwaite,8,15,1,0,53.333333333333336,AD Mathews,2.0,6.0,1.0,0.0,0.0,3.0
FA Allen,51,32,7,1,159.375,,,,,,,
SS Cottrell,7,10,0,0,70.0,,,,,,,
O Thomas,1,6,0,0,16.666666666666664,,,,,,,
ST Gabriel,3,7,0,0,42.857142857142854,,,,,,,
