batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
XM Marshall,31,44,4,0,70.45454545454545,Junaid Siddique (2),10.0,61.0,2.0,1.0,3.0,6.0
MD Patel,8,18,2,0,44.44444444444444,Zahoor Khan,9.0,47.0,2.0,0.0,0.0,5.222222222222222
Steven Ryan Taylor,16,16,4,0,100.0,Rohan Mustafa,10.0,35.0,1.0,0.0,1.0,3.5
Aaron Jones,46,61,3,0,75.40983606557377,DDP D'Silva,7.0,20.0,2.0,1.0,0.0,2.7142857142857144
IG Holland,5,18,0,0,27.77777777777778,Waheed Ahmed,2.0,9.0,0.0,0.0,0.0,4.5
Akshay Homraj,34,59,1,0,57.6271186440678,Ahmed Raza,10.0,26.0,1.0,0.0,1.0,2.6
NK Patel,40,49,1,0,81.63265306122449,Basil Hameed,2.0,10.0,1.0,0.0,0.0,5.0
CAH Stevenson,3,7,0,0,42.857142857142854,,,,,,,
J Theron,5,10,0,0,50.0,,,,,,,
SN Netravalkar,12,18,0,0,66.66666666666666,,,,,,,
NP Kenjige,1,1,0,0,100.0,,,,,,,
