batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
JS Malhotra,3,8,0,0,37.5,N Pokana,10.0,44.0,3.0,0.0,1.0,4.4
XM Marshall,17,22,2,0,77.27272727272727,N Vanua,5.0,17.0,1.0,1.0,3.0,3.2
Steven Ryan Taylor,14,28,1,0,50.0,CA Soper,2.0,6.0,1.0,0.0,0.0,3.0
Aaron Jones,2,21,0,0,9.523809523809524,J Kila,9.0,27.0,3.0,0.0,1.0,3.0
MD Patel,66,99,3,0,66.66666666666666,CJA Amini,10.0,41.0,0.0,0.0,1.0,4.1
NK Patel,6,11,0,1,54.54545454545454,L Siaka,10.0,33.0,2.0,1.0,0.0,3.2
K Gore,16,34,2,0,47.05882352941176,A Vala,2.0,5.0,0.0,0.0,0.0,2.5
TK Patel,1,9,0,0,11.11111111111111,,,,,,,
EH Hutchinson,28,24,3,1,116.66666666666667,,,,,,,
Jasdeep Singh,11,26,0,0,42.30769230769231,,,,,,,
SN Netravalkar,1,9,0,0,11.11111111111111,,,,,,,
