batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
TP Ura,19,20,1,1,95.0,SN Netravalkar,5.0,10.0,1.0,0.0,0.0,2.0
G Toka,6,20,0,0,30.0,Jasdeep Singh,4.0,17.0,0.0,0.0,1.0,4.25
A Vala,38,49,4,1,77.55102040816327,Steven Ryan Taylor,8.0,30.0,2.0,0.0,6.0,3.75
L Siaka,4,23,0,0,17.391304347826086,K Gore,10.0,20.0,4.0,0.0,0.0,2.0
K Doriga,13,45,0,0,28.888888888888886,TK Patel,5.0,25.0,1.0,0.0,0.0,5.0
CJA Amini,1,8,0,0,12.5,NK Patel,6.0,11.0,2.0,0.0,0.0,1.8333333333333333
H Hiri,0,3,0,0,0.0,,,,,,,
J Kila,0,2,0,0,0.0,,,,,,,
N Vanua,1,12,0,0,8.333333333333332,,,,,,,
CA Soper,13,31,1,0,41.935483870967744,,,,,,,
N Pokana,11,16,1,1,68.75,,,,,,,
