batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Ashfaq Ahmed,8,16,0,0,50.0,KM Jarvis,9.0,28.0,2.0,0.0,2.0,3.111111111111111
Chirag Suri,46,76,3,1,60.526315789473685,TL Chatara,7.0,28.0,1.0,0.0,2.0,4.0
Ghulam Shabber,18,27,1,0,66.66666666666666,CB Mpofu,9.0,39.0,2.0,0.0,1.0,4.333333333333333
CP Rizwan,45,87,1,0,51.724137931034484,SC Williams,10.0,27.0,2.0,0.0,2.0,2.7
Shaiman Anwar,2,14,0,0,14.285714285714285,Sikandar Raza,10.0,33.0,1.0,0.0,2.0,3.3
Muhammad Usman,27,24,2,1,112.5,RP Burl,3.0,19.0,0.0,0.0,1.0,6.333333333333333
Rohan Mustafa,1,8,0,0,12.5,,,,,,,
Imran Haider,0,1,0,0,0.0,,,,,,,
Sultan Ahmed (2),11,18,2,0,61.111111111111114,,,,,,,
Mohammad Naveed,2,9,0,0,22.22222222222222,,,,,,,
Zahoor Khan,4,3,1,0,133.33333333333331,,,,,,,
